FilmID,Title,Genre,DirectorName,Length,Rating
7376,Campaign run rate start play.,documentary,Matthew Barker,1.88,12.82
7429,Like ten suddenly effort one talk.,comedy,Christina Rodriguez,2.61,15.2
6587,Individual color quite development laugh day position.,romance,Charles Munoz,1.59,15.52
1753,Number election claim cultural.,comedy,Angela Hansen,2.07,17.36
279,Big something drive bad condition term.,romance,Victoria Pollard,2.77,18.34
9312,Machine seem establish piece think people behind.,romance,Megan Weaver,2.48,18.51
8121,Although hospital hundred dream development summer.,scifi,Michael Evans,0.46,18.64
9899,Man suggest popular ball.,comedy,Laura Mueller,2.01,19.1
9455,Education first something eight no.,romance,Crystal Glenn,2.84,19.4
4962,Begin behind born determine easy sometimes occur.,documentary,Jonathan Snyder,0.84,19.78
3063,He to notice fly follow.,documentary,Bryan Clarke,2.89,19.82
4952,Training high across sing eight.,documentary,Jeffrey Chang,1.01,20.09
5384,Herself reach oil camera fish employee gas something.,romance,Robert Henry,1.48,20.13
919,Song deep power total daughter agreement.,romance,Darin Mckenzie,2.61,20.5
5739,Allow director senior.,romance,Daniel Foster,1.23,20.73
456,Through long industry head series fly in imagine.,documentary,Rebecca Pratt DVM,2.78,20.76
7755,Car drive fall technology important race.,documentary,Susan Welch,0.66,20.89
943,Including community end return.,comedy,John Shields,1.96,20.96
5362,All through statement rest realize miss participant.,documentary,Angela Garcia,2.19,20.98
9346,Within assume treatment financial will scientist dog.,documentary,Timothy Mendoza,2.06,21.45
945,Dream pattern left school.,scifi,Andrew Fitzgerald,3.13,21.63
8252,Significant sell visit.,documentary,Thomas Hubbard,3.03,21.68
1787,Strong remain firm significant.,romance,Kristie Miller,0.68,22.16
6476,Board church middle onto.,scifi,Glen Patterson,2.51,22.45
1668,Suggest any behind join top know candidate.,comedy,John Reed,1.23,22.52
6222,Yourself fund land director for listen.,documentary,Karen Brooks,1.74,22.72
577,Get television set walk red white.,comedy,Brenda Yates,1.87,22.74
8411,Statement central notice car fall cup spend.,comedy,Rebecca King,0.51,23.0
5870,More wish race subject why.,documentary,Brandy Brown,0.77,23.03
1065,Indeed issue remember indicate whatever first.,scifi,Wendy Young,3.13,23.03
1366,Wear population compare suggest specific yeah offer remain.,comedy,Julie Thompson,1.23,23.04
1493,Its mind suddenly a.,documentary,Thomas West,1.64,23.16
2530,Voice region conference around ground college.,scifi,Ashley Hawkins,2.83,23.19
5578,Reveal office police when future.,romance,Jordan Green,2.47,23.25
3371,Minute environmental occur.,scifi,Alexis Thomas,1.39,23.26
3692,Somebody state house north age.,scifi,Monica Thompson,0.95,23.26
113,Eight concern author expert.,scifi,David Morrison,3.03,23.54
1225,Full chance international still many.,romance,Lance Jones,2.13,23.65
2209,Dark up factor any student realize under detail.,romance,Linda Perez,2.97,23.95
